record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
50951,No,Yes,Yes,14 years old,Male,0 times,2 or 3 times,Rarely,0,3 to 5 days,Rarely,Rarely,No,Yes,No,No,No
50952,No,Yes,No,14 years old,Female,0 times,2 or 3 times,Sometimes,1,1 or 2 days,Never,Rarely,No,Yes,No,No,No
50953,Yes,Yes,Yes,14 years old,Male,0 times,0 times,Sometimes,1,0 days,Rarely,Most of the time,No,No,No,No,No
50954,No,No,No,16 years old,Female,0 times,0 times,Never,2,1 or 2 days,Sometimes,Most of the time,No,Yes, , , 
50955,No,No,No,15 years old,Male,4 or 5 times,8 or 9 times,Sometimes,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes, , , 
50956,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Never,Never,No,No,No,No,No
50957,No,Yes,No,17 years old,Female,1 time,0 times,Rarely,0,6 to 9 days,Rarely,Most of the time,No,Yes,No,No,No
50958,Yes,Yes,No,16 years old,Male,0 times,1 time,Most of the time,3 or more,3 to 5 days,Never,Never,Yes,Yes, , , 
50959,No,Yes,Yes,15 years old,Female,2 or 3 times,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Rarely,Yes,Yes, , , 
50960,No,Yes,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,3 to 5 days,Always,Always,Yes,Yes,No,Yes,No
50961,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Most of the time,No,No, , , 
50962,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No, , , 
50963,No,No,Yes,15 years old,Female,0 times,1 time,Sometimes,0,1 or 2 days,Always,Sometimes,No,Yes, , , 
50964,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No,No,Yes,No
50965,Yes,No,No,15 years old,Female,1 time,1 time,Sometimes,1,3 to 5 days,Always,Never,No,Yes,No,No,No
50966,Yes,No,No,16 years old, ,0 times,2 or 3 times,Sometimes, ,0 days, ,Sometimes,No,No, , , 
50967,Yes,No,No,15 years old,Male,0 times,0 times,Most of the time,0,0 days,Always,Always,Yes,No,No,Yes,No
50968,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes,No,Yes,No
50969,Yes,Yes,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Always,Never,No,Yes, , , 
50970,Yes,Yes,Yes,15 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
50971,No,No,No,15 years old,Female,0 times,0 times,Rarely,2,0 days,Always,Always,No,No,No,No,No
50972,Yes,Yes,Yes,15 years old,Female,1 time,1 time,Rarely,1,0 days,Most of the time,Most of the time,No,No,No,Yes,No
50973,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,No
50974,Yes,Yes,Yes,16 years old,Female,8 or 9 times,1 time,Rarely,0, ,Rarely,Rarely,No, ,No,Yes,No
50975,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
50976,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
50977,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
50978,Yes,No,No,16 years old,Female,1 time,2 or 3 times,Sometimes,0,0 days,Always,Always,No,No, , , 
50979,No,Yes,Yes,15 years old,Female,0 times,1 time,Sometimes,2,3 to 5 days,Rarely,Rarely,No,Yes,No,No,No
50980,No,No,Yes,14 years old,Male,1 time,0 times,Always,2,0 days,Sometimes,Never,Yes,No, , , 
50981,No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,2,3 to 5 days,Sometimes,Rarely,No,Yes, , , 
50982,Yes,Yes,No,16 years old,Female,0 times,4 or 5 times,Most of the time,1,1 or 2 days,Rarely,Never,Yes,Yes,No,No,No
50983,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes, , , 
50984,No,Yes,No,16 years old,Male,1 time,1 time,Sometimes,1,3 to 5 days,Rarely,Sometimes,No,Yes,No,No,No
50985,Yes,No,No,16 years old,Female,2 or 3 times,4 or 5 times,Most of the time,2,3 to 5 days,Rarely,Never,Yes,Yes, , , 
50986,Yes,No,No,17 years old,Female,2 or 3 times,2 or 3 times,Sometimes,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes, , , 
50987,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
50988,No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
50989,Yes,No,No,17 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes, , , 
50990,Yes,Yes,Yes,16 years old,Female,0 times,0 times,Most of the time,3 or more,3 to 5 days,Sometimes, ,Yes,Yes,No,No,No
50991,No,No,No,16 years old,Male,0 times,1 time,Never,2,0 days,Always,Always,No,No,No,No,No
50992,Yes,No,Yes,16 years old,Female,0 times,1 time,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,No
50993,No,No,Yes,17 years old,Male,0 times,2 or 3 times,Rarely,1,6 to 9 days,Sometimes,Never,No,Yes, , , 
50994,No,No,Yes,16 years old,Female,0 times,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Most of the time,Yes,Yes, , , 
50995,No,No,No,17 years old,Female,0 times,0 times,Sometimes,0,0 days,Most of the time,Always,No,No, , , 
50996,Yes,Yes,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
50997,No,Yes,Yes,16 years old,Female,1 time,0 times,Always,2,3 to 5 days,Rarely,Never,Yes,Yes, , , 
50998,Yes,No,Yes,16 years old,Female,0 times,1 time,Always,3 or more,1 or 2 days,Most of the time,Never,Yes,Yes,No,No,No
50999,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Most of the time,Always,No,Yes, , , 
51000,No,No,No,16 years old,Female,4 or 5 times,0 times,Most of the time,1,0 days,Sometimes,Never,Yes,No,No,No,No
51001,No,No,No,17 years old,Female,0 times,0 times,Sometimes,2,0 days,Most of the time,Sometimes,No,No,No,No,No
51002,Yes,Yes,Yes,16 years old,Female,0 times,0 times,Rarely,3 or more,3 to 5 days,Most of the time,Most of the time,No,Yes,No,No,No
51003,No,Yes,Yes,16 years old,Female,0 times,0 times,Always,1,1 or 2 days,Sometimes,Never,Yes,Yes,No,No,No
51004,No,Yes,No,16 years old,Female,0 times,2 or 3 times,Sometimes,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
51005,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Sometimes,No,No, , , 
51006,No,No,No,17 years old,Male,0 times,0 times,Never,2,0 days,Always, ,No,No,No,Yes,No
51007,Yes,No,No,16 years old,Male,0 times,0 times,Most of the time, ,0 days,Always,Always,Yes,No,No,Yes,Yes
51008,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No, , , 
51009,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
51010,No,No,No,17 years old,Female,0 times,0 times,Rarely,2,0 days,Most of the time,Most of the time,No,No, , , 
51011,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Always,Always,No,Yes, , , 
51012,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more, ,Never,Always,No, , , , 
51013,No,Yes,Yes,17 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
51014,Yes,Yes,Yes,17 years old,Female,1 time,0 times,Most of the time,1,0 days,Sometimes,Most of the time,Yes,No, , , 
51015,No,No,No,17 years old,Female,0 times,0 times,Sometimes, ,0 days,Rarely,Most of the time,No,No,No,No,No
51016,No,No,No,17 years old,Female,0 times,0 times,Always,3 or more,1 or 2 days,Sometimes,Most of the time,Yes,Yes,No,No,No
51017,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No, , , 
51018,No,No, ,17 years old,Female,0 times,0 times,Sometimes,1,0 days,Rarely,Sometimes,No,No,No,Yes,Yes
51019,Yes,No,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,6 to 9 days,Rarely,Most of the time,No,Yes, , , 
51020,Yes,No,Yes,17 years old,Male,1 time,1 time,Most of the time,0,0 days,Most of the time,Sometimes,Yes,No,No,No,No
51021,No,No,Yes,17 years old,Male,0 times,0 times,Most of the time,3 or more,1 or 2 days,Always,Most of the time,Yes,Yes,No,No,No
51022,Yes,Yes,Yes,17 years old,Female,1 time,2 or 3 times,Always,1,6 to 9 days,Never,Never,Yes,Yes,No,Yes,No
51023,No,No,Yes,17 years old,Female,0 times,0 times,Always,0,3 to 5 days,Sometimes,Rarely,Yes,Yes,No,No,No
51024, ,Yes,No,17 years old,Male,0 times,1 time,Sometimes,2,1 or 2 days,Most of the time,Never,No,Yes,No,No,No
51025,No,No,No,17 years old,Male,0 times,0 times,Sometimes,1,0 days,Most of the time,Most of the time,No,No, , , 
51026,No,No,Yes,17 years old,Female,0 times,0 times,Most of the time,0,3 to 5 days,Rarely,Most of the time,Yes,Yes, , , 
51027,No,No,No,17 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
51028,No,No,No,17 years old,Female,0 times,0 times,Sometimes,2,3 to 5 days,Rarely,Rarely,No,Yes,No,No,No
51029,No,Yes,Yes,17 years old,Female,1 time,1 time,Always,2,6 to 9 days,Sometimes,Sometimes,Yes,Yes, , , 
51030,No,No,No,17 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No, , , 
51031,No,No,No,17 years old,Male,0 times,1 time,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No, , , 
51032,No,No,No,17 years old,Female,0 times,0 times,Never,2,0 days,Sometimes,Most of the time,No,No, , , 
51033,Yes,Yes,No,17 years old,Male,0 times,0 times,Rarely,3 or more,3 to 5 days,Most of the time,Rarely,No,Yes,No,No,No
51034,Yes,No,No,17 years old,Male,0 times,0 times,Rarely,1,1 or 2 days,Most of the time,Always,No,Yes, , , 
51035,No,No,No,17 years old,Male,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Rarely,Yes,No,No,Yes,No
51036,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes,No,No,No
51037,No,Yes,Yes,17 years old,Male,0 times,1 time,Rarely,1,0 days,Most of the time,Most of the time,No,No,No,Yes,No
51038,No,Yes,Yes,17 years old,Female,0 times,0 times,Sometimes,2,1 or 2 days,Rarely,Rarely,No,Yes, , , 
51039,Yes,No,Yes,17 years old,Female,12 or more times,0 times,Always,3 or more,0 days,Sometimes,Never,Yes,No, , , 
51040,No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
51041,No,No,No,17 years old,Female,0 times,0 times,Never,2,0 days,Always,Always,No,No, , , 
51042,No,Yes,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
51043,Yes,Yes,No,17 years old,Female,0 times,1 time,Sometimes,2,6 to 9 days,Sometimes,Most of the time,No,Yes,No,Yes,No
51044,No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,No
51045,No,Yes,No,17 years old,Male,2 or 3 times,2 or 3 times,Sometimes,1, , , ,No, ,No,Yes,Yes
